epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8424.91,1.02429,0.46044,1.07401,0.98754,0.9389,0.97562,0.70847,1.05853,0.41281,1.07419,0.005842,0.005842,0.005842
44,8620.37,1.02402,0.46038,1.07892,0.98383,0.93986,0.9759,0.71083,1.05931,0.40717,1.0768,0.005743,0.005743,0.005743
45,8816.03,1.01972,0.45517,1.07823,0.98392,0.94533,0.97857,0.71174,1.05537,0.40187,1.06759,0.005644,0.005644,0.005644
46,9011.78,1.01326,0.44835,1.06879,0.98252,0.94736,0.97716,0.71418,1.04835,0.40104,1.05852,0.005545,0.005545,0.005545
47,9207.67,1.01465,0.44962,1.06996,0.99138,0.94356,0.97912,0.7165,1.05632,0.40229,1.07418,0.005446,0.005446,0.005446
48,9403.44,1.00857,0.44764,1.07805,0.98212,0.9508,0.9802,0.71222,1.0547,0.40061,1.0687,0.005347,0.005347,0.005347
49,9599.31,1.00537,0.44084,1.07189,0.98163,0.94931,0.97834,0.71558,1.05082,0.39069,1.06365,0.005248,0.005248,0.005248
50,9795.21,1.00266,0.441,1.06437,0.97757,0.95298,0.97648,0.71694,1.04465,0.3911,1.06255,0.005149,0.005149,0.005149
51,9990.87,0.99546,0.43981,1.06674,0.9844,0.94855,0.97793,0.71622,1.04123,0.38749,1.06779,0.00505,0.00505,0.00505
52,10186.5,0.99976,0.44044,1.06627,0.97825,0.95262,0.97684,0.71627,1.04976,0.38825,1.07077,0.004951,0.004951,0.004951
53,10382.1,0.99754,0.43174,1.06289,0.98086,0.95809,0.97945,0.7163,1.05396,0.38899,1.06433,0.004852,0.004852,0.004852
54,10577.9,0.99844,0.43225,1.0633,0.97982,0.95138,0.97906,0.71982,1.05505,0.38633,1.06187,0.004753,0.004753,0.004753
55,10773.5,0.99374,0.42593,1.06291,0.98571,0.94897,0.97769,0.72121,1.04389,0.38339,1.06336,0.004654,0.004654,0.004654
56,10969.2,0.98342,0.42623,1.05698,0.98809,0.94474,0.97945,0.7216,1.0445,0.37718,1.05796,0.004555,0.004555,0.004555
57,11165.1,0.98322,0.42241,1.05885,0.9872,0.94897,0.97899,0.71801,1.04029,0.38043,1.06306,0.004456,0.004456,0.004456
